Ano;Matrícula;Avaliação
31/12/2021;4997;5
31/12/2021;4336;3,5
31/12/2021;4951;4
31/12/2021;3810;5
31/12/2021;4862;4,5
31/12/2021;4542;3,5
31/12/2021;5039;3
31/12/2021;3136;4
31/12/2021;4118;2,5
31/12/2021;3694;4,5
31/12/2021;3233;2,5
31/12/2021;3521;5
31/12/2021;3401;4,5
31/12/2021;4373;4
31/12/2021;3838;4,5
31/12/2021;3053;5
31/12/2021;3582;2
31/12/2021;4503;4,5
31/12/2021;4942;2,5
31/12/2021;3293;3,5
31/12/2021;4549;5
31/12/2021;3721;2,5
31/12/2021;3877;4
31/12/2021;3253;4,5
31/12/2021;4679;4,5
31/12/2021;3926;2,5
31/12/2021;3563;4,5
31/12/2021;5053;2,5
31/12/2021;4670;3
31/12/2021;4662;4,5
31/12/2021;4236;2
31/12/2021;3389;2,5
31/12/2021;4806;2
31/12/2021;4472;5
31/12/2021;3944;4,5
31/12/2021;4170;2,5
31/12/2021;3748;4,5
31/12/2021;3124;3
31/12/2021;3171;5
31/12/2021;3280;5
31/12/2021;3462;4,5
31/12/2021;3571;5
31/12/2021;4342;4,5
31/12/2021;4483;3
31/12/2021;3164;4,5
31/12/2021;4988;3
31/12/2021;5059;2,5
31/12/2021;3714;5
31/12/2021;3971;2,5
31/12/2021;3686;5
31/12/2021;3483;5
31/12/2021;4993;2,5
31/12/2021;3132;3,5
31/12/2021;3534;2,5
31/12/2021;4751;4,5
31/12/2021;5070;3,5
31/12/2021;3237;2,5
31/12/2021;3495;4
31/12/2021;3716;5
31/12/2021;3374;4,5
31/12/2021;3683;2,5
31/12/2021;5028;2
31/12/2021;4474;4,5
31/12/2021;4584;4,5
31/12/2021;4219;4,5
31/12/2021;4067;4,5
31/12/2021;3867;5
31/12/2021;4208;4
31/12/2021;3574;4,5
31/12/2021;4640;4,5
